652A, 610, 110.44099463426795, 39.06021654654326, 1.5421997789088058e-05, 8.700992939427723e-06, 110.4409624468, 39.0602010778, 110.4410195978, 39.0602342149
653B, 606, 110.44074583265632, 39.06074361998271, 7.374536061081076e-06, 7.344893745557921e-06, 110.4407239879, 39.0607229897, 110.4407571673, 39.0607655581
34A, 602, 110.44119266223831, 39.060298942980545, 1.1943857416624324e-05, 1.5261875197618352e-05, 110.4411646183, 39.0602613292, 110.4412284621, 39.0603456103
34B, 606, 110.44127907213465, 39.06002582451566, 1.3714629743135176e-05, 2.3129997194232535e-05, 110.4412452921, 39.0599778374, 110.4413139513, 39.0600748774
24B, 603, 110.44077387233978, 39.05992789190612, 1.3517521954327139e-05, 2.756054023474351e-05, 110.4407449381, 39.0598702677, 110.4408053218, 39.0599773031
653A, 611, 110.44085793134086, 39.06047344764211, 5.55311272268857e-06, 1.2340395005255415e-05, 110.4408458448, 39.0604413013, 110.4408678084, 39.0604977722
836A, 418, 110.43983096242448, 39.06444885682536, 8.761108625072817e-06, 2.1143632964591796e-05, 110.4398142472, 39.064397105, 110.4398513922, 39.0644859661
163B, 603, 110.441297810924, 39.05955900349241, 0.0002655453494328047, 0.0006742357138605188, 110.440925051, 39.0589455408, 110.4415427095, 39.0604521911
164B, 601, 110.4412188336406, 39.05986743826222, 0.0002554407938709114, 0.0006682066113628723, 110.4408596036, 39.0592302705, 110.4414705185, 39.0607728187
24A, 600, 110.4409060671629, 39.05966267085102, 1.0079492714777383e-05, 1.4515670701088212e-05, 110.44088028, 39.0596369472, 110.4409318142, 39.0596971259
7031A, 1, 110.4366804692, 39.0581924752, 0.0, 0.0, 110.4366804692, 39.0581924752, 110.4366804692, 39.0581924752
33A, 604, 110.44130050778237, 39.06001797234091, 1.1277274035036942e-05, 2.044336014668637e-05, 110.441277762, 39.0599822403, 110.4413427069, 39.0600787864
7037B, 1, 110.4377692661, 39.0582609593, 0.0, 0.0, 110.4377692661, 39.0582609593, 110.4377692661, 39.0582609593
33B, 604, 110.44138225754632, 39.05974177259041, 1.3788923372704533e-05, 1.6097470198121438e-05, 110.4413559189, 39.0597027376, 110.4414104618, 39.0597732559
